"시점",한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,타사,타사,타사,타사,타사,타사,타사,타사,타사,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,상용자가,상용자가,상용자가,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량
"시점",소계,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,복합화력,복합화력,집단,내연력,대체,원자력,소계,수력,수력,수력,기력(중유),복합화력,복합화력,복합화력,집단&대체,소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,복합화력,복합화력,내연력,원자력,집단,대체,집단&대체,소계,한전구입,자가 소비,소계,수력,기력,내연력,원자력,복합화력,사업자+한전구입,사업자+상용자가
"시점",소계,소계,일반,양수,소계,무연탄,유연탄,중유,LNG,소계,일반,열공급,소계,소계,소계,소계,소계,소계,일반,소수력,소계,소계,일반,열공급,소계,소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,일반,열공급,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"1999.09",19304642,368300,208814,159486,7325797,610092,5901091,682388,132226,2432175,1742579,689596,-,31095,-,9147276,552848,347460,335430,12030,-,205388,-,-,-,19857490,715760,544243,159486,12030,7325797,610092,5901091,682388,132226,2637563,1947967,689596,31095,9147276,-,-,-,...,350943,...,-,-,-,-,-,-,20208433,...
"1999.10",19705921,300803,169164,131639,7981645,490308,7033252,453030,5055,1947300,1294569,652731,-,25852,-,9450322,491489,305570,295932,9637,-,185919,-,-,-,20197410,606373,465096,131639,9637,7981645,490308,7033252,453030,5055,2133219,1480488,652731,25852,9450322,-,-,-,...,410890,...,-,-,-,-,-,-,20608300,...
"1999.11",19921907,207902,104255,103647,7895862,591746,6564342,627230,112544,2384478,1523398,861080,-,30766,-,9402899,267758,165904,158903,7001,-,101854,-,-,-,20189666,373807,263158,103647,7001,7895862,591746,6564342,627230,112544,2486332,1625252,861080,30766,9402899,-,-,-,...,424889,...,-,-,-,-,-,-,20614555,...
"1999.12",21460361,296635,110952,185683,9121863,693564,6993628,1310926,123744,2504727,1277830,1226897,-,32514,-,9504622,258817,157073,153693,3380,-,101744,-,-,-,21719178,453708,264645,185683,3380,9121863,693564,6993628,1310926,123744,2606471,1379574,1226897,32514,9504622,-,-,-,...,450353,...,-,-,-,-,-,-,22169531,...
"2000.01",21353691,289688,114083,175605,9145453,646341,7199463,1164544,135105,2467166,1151569,1315597,-,27796,-,9423588,256348,167195,164135,3060,-,89153,89153,-,-,21610039,456883,278218,175605,3060,9145453,646341,7199463,1164544,135105,2556319,1240722,1315597,27796,9423588,-,-,-,…,488256,…,-,-,-,-,-,-,22098295,…
"2000.02",19646268,262218,111951,150267,8509514,526690,6645991,1196666,140167,2203057,971521,1231536,-,25965,-,8645514,253134,170900,168792,2108,-,82233,82233,-,-,19899402,433118,280743,150267,2108,8509514,526690,6645991,1196666,140167,2285290,1053754,1231536,25965,8645514,-,-,-,…,448208,…,-,-,-,-,-,-,20347610,…
"2000.03",21361162,182826,84870,97956,10083469,622451,7646994,1701549,112475,2094887,1062962,1031925,-,22092,-,8977888,219707,129502,126993,2509,-,90205,90205,-,-,21580869,312328,211863,97956,2509,10083469,622451,7646994,1701549,112475,2185092,1153167,1031925,22092,8977888,-,-,-,…,488453,…,-,-,-,-,-,-,22069322,…
"2000.04",19849531,189039,85882,103157,9538746,426126,7471458,1567344,73818,1771665,1078503,693162,-,23914,-,8326167,194896,117285,113258,4027,-,77612,77612,-,-,20044427,306324,199140,103157,4027,9538746,426126,7471458,1567344,73818,1849277,1156115,693162,23914,8326167,-,-,-,…,399043,…,-,-,-,-,-,-,20443470,…
"2000.05",20894051,235048,92715,142333,10210790,668265,8036502,1456083,49940,1661934,1075235,586699,-,23873,-,8762406,217250,112782,107545,5237,-,104468,104468,-,-,21111301,347830,200260,142333,5237,10210790,668265,8036502,1456083,49940,1766402,1179703,586699,23873,8762406,-,-,-,…,349018,…,-,-,-,-,-,-,21460319,…
"2000.06",21429584,333637,147347,186290,10572343,723631,7878701,1895794,74217,2111370,1574276,537094,-,34135,-,8378099,316434,142023,136857,5166,-,174412,174412,-,-,21746019,475660,284204,186290,5166,10572343,723631,7878701,1895794,74217,2285782,1748688,537094,34135,8378099,-,-,-,…,300157,…,-,-,-,-,-,-,22046175,…
"2000.07",23388997,314258,100035,214223,11259059,721841,8248140,1819401,469677,2500040,1700887,799153,-,25400,-,9290240,432625,187654,179968,7686,-,244971,244971,-,-,23821622,501912,280003,214223,7686,11259059,721841,8248140,1819401,469677,2745011,1945858,799153,25400,9290240,-,-,-,…,407450,…,-,-,-,-,-,-,24229072,…
"2000.08",23136813,391234,203329,187905,10778142,678258,8358288,1611600,129996,2157941,1580876,577065,-,29618,-,9779878,555495,295885,283385,12500,-,259610,259610,-,-,23692308,687119,486714,187905,12500,10778142,678258,8358288,1611600,129996,2417551,1840486,577065,29618,9779878,-,-,-,…,423241,…,-,-,-,-,-,-,24115550,…
"2000.09",20036760,471145,307402,163743,8729204,417561,7202333,1083999,25311,1248020,1001476,246544,-,28828,-,9559563,670626,411697,398807,12890,-,258928,112269,146659,-,20707386,882843,706210,163743,12890,8729204,417561,7202333,1083999,25311,1506948,1113745,393203,28828,9559563,-,-,-,…,281096,…,-,-,-,-,-,-,20988482,…
"2000.10",21401545,206781,144644,62137,10550413,440558,7937531,2127883,44441,1719073,1378624,340449,-,8428,-,8916850,475973,238020,231797,6223,-,237953,84572,153381,-,21877518,444801,376441,62137,6223,10550413,440558,7937531,2127883,44441,1957026,1463196,493830,8428,8916850,-,-,-,…,329652,…,-,-,-,-,-,-,22207171,…
"2000.11",21484827,156150,116087,40063,10325892,517769,7809187,1814042,184894,2170927,1588588,582339,-,12144,-,8819714,603211,256890,252960,3930,-,346322,104149,242173,-,22088038,413039,369046,40063,3930,10325892,517769,7809187,1814042,184894,2517249,1692737,824512,12144,8819714,-,-,-,…,377431,…,-,-,-,-,-,-,22465468,…
"2000.12",22858355,164184,87594,76590,10244508,640262,7963130,1449266,191850,2334162,1569855,764307,-,31668,-,10083833,640812,183781,180581,3200,-,457031,141626,315405,-,23499167,347965,268175,76590,3200,10244508,640262,7963130,1449266,191850,2791193,1711481,1079712,31668,10083833,-,-,-,…,429406,…,-,-,-,-,-,-,23928574,…
"2001.01",22587376,192164,68183,123981,9928589,624873,7402179,1660386,241151,2358768,1474713,884055,-,23045,-,10084810,702226,96439,93481,2959,-,605787,209755,396032,-,23289602,288603,161663,123981,2959,9928589,624873,7402179,1660386,241151,2964555,1684468,1280087,23045,10084810,-,-,-,…,418327,…,-,-,-,-,-,-,23707930,…
"2001.02",21305261,146816,49583,97233,9896079,512639,7450588,1715914,216937,2189699,1444663,745036,-,26811,-,9045856,557961,75567,72659,2908,-,482395,164724,317671,-,21863223,222383,122242,97233,2908,9896079,512639,7450588,1715914,216937,2672094,1609387,1062707,26811,9045856,-,-,-,…,383734,…,-,-,-,-,-,-,22246957,…
"2001.03",22844720,137272,74707,62565,11312890,650901,8445614,2009575,206800,2333274,1607575,725699,-,27626,-,9033657,628131,84764,75094,9670,-,543368,281773,261595,-,23472851,222036,149801,62565,9670,11312890,650901,8445614,2009575,206800,2876642,1889348,987294,27626,9033657,-,-,-,…,416883,…,-,-,-,-,-,-,23889734,…
"2001.04",21197668,191994,83708,108286,10260765,679007,7881155,1619764,80840,1263255,858262,404993,-,26945,-,9454708,553013,99910,93905,6006,-,453103,224965,228138,-,21750681,291904,177612,108286,6006,10260765,679007,7881155,1619764,80840,1716358,1083227,633131,26945,9454708,-,-,-,…,327473,…,-,-,-,-,-,-,22078154,…
"2001.05",22178949,229095,65384,163711,11079151,644490,8453948,1826065,154647,1757377,1391201,366176,-,31935,-,9081391,481895,104091,100350,3741,-,377804,249383,128421,-,22660844,333186,165734,163711,3741,11079151,644490,8453948,1826065,154647,2135181,1640584,494597,31935,9081391,-,-,-,…,256169,…,-,-,-,-,-,-,22917013,…
"2001.06",22282317,281960,68955,213005,11739307,614166,9139251,1889943,95947,1699001,1399669,299332,-,26602,-,8535448,502529,101759,96285,5474,-,400769,233602,167167,-,22784846,383719,165240,213005,5474,11739307,614166,9139251,1889943,95947,2099770,1633271,466499,26602,8535448,-,-,-,…,282644,…,-,-,-,-,-,-,23067489,…
"2001.07",24133827,421951,181165,240786,12399905,493531,9580967,2160722,164685,1911252,1559551,351701,-,28684,-,9372035,514691,176126,165230,10896,-,338565,205692,132873,-,24648518,598077,346394,240786,10896,12399905,493531,9580967,2160722,164685,2249817,1765243,484574,28684,9372035,-,-,-,…,318029,…,-,-,-,-,-,-,24966547,…
"2001.08",24124978,476606,256161,220445,11308779,407412,9297965,1477581,125821,1934387,1548157,386230,-,24756,-,10380449,506347,185144,176808,8335,-,321203,182165,139038,-,24631324,661750,432970,220445,8335,11308779,407412,9297965,1477581,125821,2255590,1730322,525268,24756,10380449,-,-,-,…,306389,…,-,-,-,-,-,-,24937713,…
"2001.09",22676917,292102,78923,213179,11308657,470317,9173777,1631757,32806,1949391,1667843,281548,-,23495,-,9103272,469156,102558,95432,7126,-,366597,246461,120136,-,23146073,394661,174355,213179,7126,11308657,470317,9173777,1631757,32806,2315988,1914304,401684,23495,9103272,-,-,-,…,223861,…,-,-,-,-,-,-,23369933,…
"2001.10",22115299,209666,50377,159288,11392013,549316,9130384,1672647,39666,1537861,1268981,268880,-,24450,-,8951309,545942,78532,71177,7355,-,467410,314066,153344,-,22661241,288198,121554,159288,7355,11392013,549316,9130384,1672647,39666,2005271,1583047,422224,24450,8951309,-,-,-,…,301793,…,-,-,-,-,-,-,22963035,…
"2001.11",23634202,176207,49278,126929,11876318,687390,9507052,1613565,68311,1981066,1412704,568362,-,28060,-,9572550,496798,72997,68392,4605,-,423801,164720,259081,-,24131000,249204,117670,126929,4605,11876318,687390,9507052,1613565,68311,2404867,1577424,827443,28060,9572550,-,-,-,…,432682,…,-,-,-,-,-,-,24563682,…
"2001.12",25316944,159096,67690,91405,12934287,673343,9787205,2344420,129319,2673484,1862226,811258,-,32529,-,9517548,721289,57936,54658,3278,-,663354,312934,350420,-,26038233,217031,122348,91405,3278,12934287,673343,9787205,2344420,129319,3336838,2175160,1161678,32529,9517548,-,-,-,…,477337,…,-,-,-,-,-,-,26515570,…
